תאריך,שעה,עלו(₪/MWh),ייצור אנרגיהמתחדש (MW),ייצור קונבנציונלי(MW),ביקוש משקי(MW)
2021/01/01,00:00:00,157.05,4,7002,7006
2021/01/01,00:30:00,157.13,5,6682,6687
2021/01/01,01:00:00,157.13,4,6395,6399
2021/01/01,01:30:00,157.35,4,6147,6151
2021/01/01,02:00:00,157.24,3,5931,5934
2021/01/01,02:30:00,157.24,1,5768,5769
2021/01/01,03:00:00,157.01,1,5622,5623
2021/01/01,03:30:00,157.01,2,5565,5567
2021/01/01,04:00:00,157.12,2,5537,5539
2021/01/01,04:30:00,157.18,1,5601,5602
2021/01/01,05:00:00,157.1,2,5694,5696
2021/01/01,05:30:00,157.25,2,5870,5872
2021/01/01,06:00:00,157.08,2,5993,5995
2021/01/01,06:30:00,157.24,2,6049,6051
2021/01/01,07:00:00,159.16,1,6099,6100
2021/01/01,07:30:00,158.79,129,6211,6340
2021/01/01,08:00:00,158.42,338,6202,6540
2021/01/01,08:30:00,157.19,600,6136,6736
2021/01/01,09:00:00,157.08,874,5992,6866
2021/01/01,09:30:00,157.17,1137,5880,7017
2021/01/01,10:00:00,157.18,1297,5818,7115
2021/01/01,10:30:00,157.18,1396,5790,7186
2021/01/01,11:00:00,157.75,1478,5776,7254
2021/01/01,11:30:00,158.12,1468,5805,7273
2021/01/01,12:00:00,158.19,1497,5796,7293
2021/01/01,12:30:00,158.02,1478,5794,7272
2021/01/01,13:00:00,158.55,1429,5849,7278
2021/01/01,13:30:00,158.92,1360,5955,7315
2021/01/01,14:00:00,159.31,1234,6125,7359
2021/01/01,14:30:00,159.91,1059,6386,7445
2021/01/01,15:00:00,171.79,834,6719,7553
2021/01/01,15:30:00,167.78,553,7177,7730
2021/01/01,16:00:00,165.49,289,7503,7792
2021/01/01,16:30:00,213.84,55,7673,7728
2021/01/01,17:00:00,207.07,0,8091,8091
2021/01/01,17:30:00,196.21,0,8453,8453
2021/01/01,18:00:00,196.21,0,8528,8528
2021/01/01,18:30:00,196.21,0,8498,8498
2021/01/01,19:00:00,196.21,0,8365,8365
2021/01/01,19:30:00,167.39,0,8219,8219
2021/01/01,20:00:00,167.46,0,8027,8027
2021/01/01,20:30:00,167.46,0,7984,7984
2021/01/01,21:00:00,167.46,0,7850,7850
2021/01/01,21:30:00,167.46,0,7706,7706
2021/01/01,22:00:00,177.27,0,7485,7485
2021/01/01,22:30:00,159.36,0,7298,7298
2021/01/01,23:00:00,157.27,0,7035,7035
2021/01/01,23:30:00,157.2,0,6765,6765
2021/01/02,00:00:00,157.06,0,6473,6473
2021/01/02,00:30:00,157.03,0,6197,6197
2021/01/02,01:00:00,157.02,1,5976,5977
2021/01/02,01:30:00,156.99,1,5779,5780
2021/01/02,02:00:00,157.24,1,5623,5624
2021/01/02,02:30:00,157.06,1,5526,5527
2021/01/02,03:00:00,157.24,2,5418,5420
2021/01/02,03:30:00,157.24,2,5390,5392
2021/01/02,04:00:00,157.03,2,5412,5414
2021/01/02,04:30:00,156.99,3,5449,5452
2021/01/02,05:00:00,157.19,3,5540,5543
2021/01/02,05:30:00,157.47,2,5667,5669
2021/01/02,06:00:00,156.99,1,5715,5716
2021/01/02,06:30:00,157.02,1,5686,5687
2021/01/02,07:00:00,157.44,1,5627,5628
2021/01/02,07:30:00,157.07,144,5637,5781
2021/01/02,08:00:00,158.63,365,5585,5950
2021/01/02,08:30:00,158.21,451,5736,6187
2021/01/02,09:00:00,157.98,615,5668,6283
2021/01/02,09:30:00,157.66,816,5620,6436
2021/01/02,10:00:00,157.34,1011,5612,6623
2021/01/02,10:30:00,157.24,1211,5517,6728
2021/01/02,11:00:00,157.56,1269,5503,6772
2021/01/02,11:30:00,158.05,1264,5559,6823
2021/01/02,12:00:00,158.05,1238,5566,6804
2021/01/02,12:30:00,157.74,1268,5505,6773
2021/01/02,13:00:00,157.56,1349,5410,6759
2021/01/02,13:30:00,157.61,1321,5385,6706
2021/01/02,14:00:00,158.39,1247,5401,6648
2021/01/02,14:30:00,159.13,1157,5560,6717
2021/01/02,15:00:00,158.41,1035,5827,6862
2021/01/02,15:30:00,158.59,872,6195,7067
2021/01/02,16:00:00,181.85,483,6572,7055
2021/01/02,16:30:00,182.04,60,7085,7145
2021/01/02,17:00:00,191.57,3,7605,7608
2021/01/02,17:30:00,181.85,4,8087,8091
2021/01/02,18:00:00,195.2,5,8538,8543
2021/01/02,18:30:00,195.31,6,8736,8742
2021/01/02,19:00:00,176.19,5,8770,8775
2021/01/02,19:30:00,183.31,6,8778,8784
2021/01/02,20:00:00,175.98,5,8707,8712
2021/01/02,20:30:00,175.98,8,8580,8588
2021/01/02,21:00:00,182.6,7,8417,8424
2021/01/02,21:30:00,182.6,8,8334,8342
2021/01/02,22:00:00,182.6,3,8066,8069
2021/01/02,22:30:00,182.6,4,7774,7778
2021/01/02,23:00:00,180.79,6,7450,7456
2021/01/02,23:30:00,160.21,7,7022,7029
2021/01/03,00:00:00,178.98,5,6616,6621
2021/01/03,00:30:00,178.81,5,6246,6251
2021/01/03,01:00:00,178.81,6,5931,5937
2021/01/03,01:30:00,178.98,7,5717,5724
2021/01/03,02:00:00,178.98,5,5521,5526
2021/01/03,02:30:00,178.81,7,5388,5395
2021/01/03,03:00:00,178.81,7,5340,5347
2021/01/03,03:30:00,178.98,6,5311,5317
2021/01/03,04:00:00,178.98,6,5320,5326
2021/01/03,04:30:00,179.16,5,5456,5461
2021/01/03,05:00:00,178.81,5,5627,5632
2021/01/03,05:30:00,179.16,6,5907,5913
2021/01/03,06:00:00,178.98,4,6099,6103
2021/01/03,06:30:00,178.81,8,6427,6435
2021/01/03,07:00:00,179.16,6,6794,6800
2021/01/03,07:30:00,178.98,124,7063,7187
2021/01/03,08:00:00,182.6,304,7000,7304
2021/01/03,08:30:00,179.51,531,6988,7519
2021/01/03,09:00:00,178.81,786,6801,7587
2021/01/03,09:30:00,178.81,951,6704,7655
2021/01/03,10:00:00,178.98,1099,6609,7708
2021/01/03,10:30:00,178.98,1251,6509,7760
2021/01/03,11:00:00,178.98,1283,6451,7734
2021/01/03,11:30:00,178.98,1298,6407,7705
2021/01/03,12:00:00,178.98,1278,6353,7631
2021/01/03,12:30:00,178.81,1287,6341,7628
2021/01/03,13:00:00,178.98,1248,6403,7651
2021/01/03,13:30:00,178.64,1175,6549,7724
2021/01/03,14:00:00,178.98,1072,6609,7681
2021/01/03,14:30:00,178.81,948,6779,7727
2021/01/03,15:00:00,189.72,748,7047,7795
2021/01/03,15:30:00,189.55,520,7309,7829
2021/01/03,16:00:00,188.89,295,7521,7816
2021/01/03,16:30:00,189.05,110,7919,8029
2021/01/03,17:00:00,184.99,5,8587,8592
2021/01/03,17:30:00,185.06,5,9061,9066
2021/01/03,18:00:00,221.81,5,9309,9314
2021/01/03,18:30:00,211.9,5,9400,9405
2021/01/03,19:00:00,209.05,6,9443,9449
2021/01/03,19:30:00,215.01,5,9354,9359
2021/01/03,20:00:00,214.78,6,9274,9280
2021/01/03,20:30:00,215.01,6,9123,9129
2021/01/03,21:00:00,215.24,6,8887,8893
2021/01/03,21:30:00,178.64,8,8584,8592
2021/01/03,22:00:00,179.64,5,8272,8277
2021/01/03,22:30:00,178.64,3,8019,8022
2021/01/03,23:00:00,178.64,2,7620,7622
2021/01/03,23:30:00,178.64,3,7202,7205
2021/01/04,00:00:00,178.98,2,6757,6759
2021/01/04,00:30:00,178.81,4,6392,6396
2021/01/04,01:00:00,178.98,3,6107,6110
2021/01/04,01:30:00,178.98,5,5860,5865
2021/01/04,02:00:00,179.16,5,5702,5707
2021/01/04,02:30:00,178.98,6,5593,5599
2021/01/04,03:00:00,178.98,5,5519,5524
2021/01/04,03:30:00,178.98,7,5518,5525
2021/01/04,04:00:00,178.98,9,5524,5533
2021/01/04,04:30:00,179.16,8,5634,5642
