תאריך,שעה,עלות שולית מערכתית כולל אילוצים,עלות שולית מערכתית ללא אילוצים
2021/01/01,00:00:00,117.24,113.8
2021/01/01,00:30:00,114.1,112.7
2021/01/01,01:00:00,111.19,111.19
2021/01/01,01:30:00,100.81,100.81
2021/01/01,02:00:00,110.02,110.02
2021/01/01,02:30:00,105.97,106.54
2021/01/01,03:00:00,105.67,106.38
2021/01/01,03:30:00,105.41,106.22
2021/01/01,04:00:00,107.21,107.21
2021/01/01,04:30:00,110.02,110.02
2021/01/01,05:00:00,108.97,111.36
2021/01/01,05:30:00,112.02,112.6
2021/01/01,06:00:00,112.08,113.62
2021/01/01,06:30:00,117.02,117.02
2021/01/01,07:00:00,117.02,117.02
2021/01/01,07:30:00,117.02,117.02
2021/01/01,08:00:00,114.54,116.63
2021/01/01,08:30:00,112.75,113.91
2021/01/01,09:00:00,112.07,113.31
2021/01/01,09:30:00,107,110.5
2021/01/01,10:00:00,110.76,109.56
2021/01/01,10:30:00,110.71,109.39
2021/01/01,11:00:00,108.04,110.84
2021/01/01,11:30:00,109.64,109.42
2021/01/01,12:00:00,110.8,110.63
2021/01/01,12:30:00,111.41,111.02
2021/01/01,13:00:00,110.94,111.07
2021/01/01,13:30:00,112.58,112.66
2021/01/01,14:00:00,115.02,110.97
2021/01/01,14:30:00,114.91,113.25
2021/01/01,15:00:00,121.22,114.98
2021/01/01,15:30:00,117.33,115.1
2021/01/01,16:00:00,125.02,120.84
2021/01/01,16:30:00,114.86,146.4
2021/01/01,17:00:00,126.41,159.9
2021/01/01,17:30:00,164.78,164.78
2021/01/01,18:00:00,149.08,149.08
2021/01/01,18:30:00,114.01,149.08
2021/01/01,19:00:00,126.41,126.4
2021/01/01,19:30:00,114.42,115.31
2021/01/01,20:00:00,126.4,149.08
2021/01/01,20:30:00,159.9,159.9
2021/01/01,21:00:00,159.9,159.9
2021/01/01,21:30:00,135,126.9
2021/01/01,22:00:00,125.02,125.02
2021/01/01,22:30:00,118.94,105
2021/01/01,23:00:00,113.88,109
2021/01/01,23:30:00,111.7,112.65
2021/01/02,00:00:00,111.79,111.79
2021/01/02,00:30:00,105,105
2021/01/02,01:00:00,105,105
2021/01/02,01:30:00,109.77,109.77
2021/01/02,02:00:00,106.58,106.58
2021/01/02,02:30:00,103.45,103.45
2021/01/02,03:00:00,102.65,102.65
2021/01/02,03:30:00,101.82,101.82
2021/01/02,04:00:00,106.17,106.17
2021/01/02,04:30:00,106.74,106.74
2021/01/02,05:00:00,109.85,109.85
2021/01/02,05:30:00,106.9,106.9
2021/01/02,06:00:00,109.89,109.89
2021/01/02,06:30:00,106.81,106.81
2021/01/02,07:00:00,110.38,110.38
2021/01/02,07:30:00,112.13,112.13
2021/01/02,08:00:00,112.8,112.8
2021/01/02,08:30:00,112.76,112.76
2021/01/02,09:00:00,112.9,112.9
2021/01/02,09:30:00,110.97,110.97
2021/01/02,10:00:00,111.02,111.02
2021/01/02,10:30:00,106.48,106.48
2021/01/02,11:00:00,106.3,106.3
2021/01/02,11:30:00,106.13,106.13
2021/01/02,12:00:00,105.66,105.66
2021/01/02,12:30:00,105.05,105.05
2021/01/02,13:00:00,102.36,102.36
2021/01/02,13:30:00,101.69,101.69
2021/01/02,14:00:00,109.89,109.89
2021/01/02,14:30:00,106.79,109.31
2021/01/02,15:00:00,110.2,112.3
2021/01/02,15:30:00,110.2,111.02
2021/01/02,16:00:00,125.02,125.02
2021/01/02,16:30:00,126.41,125.02
2021/01/02,17:00:00,146.4,141.4
2021/01/02,17:30:00,159.9,164.63
2021/01/02,18:00:00,165.02,165.02
2021/01/02,18:30:00,165.02,160.63
2021/01/02,19:00:00,159.9,159.9
2021/01/02,19:30:00,165.02,160.63
2021/01/02,20:00:00,165.02,165.02
2021/01/02,20:30:00,114.71,159.9
2021/01/02,21:00:00,160,160
2021/01/02,21:30:00,112.43,163.06
2021/01/02,22:00:00,113.35,126.9
2021/01/02,22:30:00,112.02,126.89
2021/01/02,23:00:00,105,105
2021/01/02,23:30:00,117.72,105
2021/01/03,00:00:00,113.95,105
2021/01/03,00:30:00,105,111.6
2021/01/03,01:00:00,110.02,110.02
2021/01/03,01:30:00,103.85,103.85
2021/01/03,02:00:00,107.82,107.82
2021/01/03,02:30:00,105.9,105.9
2021/01/03,03:00:00,105.3,105.3
2021/01/03,03:30:00,104.52,104.52
2021/01/03,04:00:00,105.75,105.75
2021/01/03,04:30:00,109.35,109.35
2021/01/03,05:00:00,108.76,108.76
2021/01/03,05:30:00,109.69,109.69
2021/01/03,06:00:00,109.18,107.08
2021/01/03,06:30:00,114.18,114.08
2021/01/03,07:00:00,112.5,112
2021/01/03,07:30:00,114.66,113.96
2021/01/03,08:00:00,116.68,114.81
2021/01/03,08:30:00,117.02,117.02
2021/01/03,09:00:00,115.02,115.02
2021/01/03,09:30:00,111.97,111.97
2021/01/03,10:00:00,110.53,110.53
2021/01/03,10:30:00,107.79,107.79
2021/01/03,11:00:00,109.04,109.04
2021/01/03,11:30:00,108.87,108.87
2021/01/03,12:00:00,109.88,109.88
2021/01/03,12:30:00,108,108
2021/01/03,13:00:00,112.74,112.74
2021/01/03,13:30:00,113.02,113.02
2021/01/03,14:00:00,111.45,112.44
2021/01/03,14:30:00,112.54,112.54
2021/01/03,15:00:00,111.12,112.18
2021/01/03,15:30:00,107.81,111.02
2021/01/03,16:00:00,114.68,114.36
2021/01/03,16:30:00,125.02,125.02
2021/01/03,17:00:00,159.9,161.58
2021/01/03,17:30:00,164.63,165.02
2021/01/03,18:00:00,163.62,165.02
2021/01/03,18:30:00,165.02,158.45
2021/01/03,19:00:00,165.02,158.45
2021/01/03,19:30:00,164.31,163.55
2021/01/03,20:00:00,158.45,158.45
2021/01/03,20:30:00,141.4,126.9
2021/01/03,21:00:00,121.92,126.59
2021/01/03,21:30:00,125.02,116.15
2021/01/03,22:00:00,125.02,116.88
2021/01/03,22:30:00,105,114.14
2021/01/03,23:00:00,109,105
2021/01/03,23:30:00,105,112.56
2021/01/04,00:00:00,107.94,109.52
2021/01/04,00:30:00,104.06,109.74
2021/01/04,01:00:00,107.94,108.61
2021/01/04,01:30:00,107.93,107.79
2021/01/04,02:00:00,107.76,105.98
2021/01/04,02:30:00,107.8,107.13
2021/01/04,03:00:00,107.51,106.84
2021/01/04,03:30:00,107.22,103.93
2021/01/04,04:00:00,107.87,108.01
2021/01/04,04:30:00,107.69,105.45
2021/01/04,05:00:00,101.87,102.02
2021/01/04,05:30:00,100.03,101.11
2021/01/04,06:00:00,103.64,103.66
2021/01/04,06:30:00,108.18,109.62
2021/01/04,07:00:00,104.57,108.46
2021/01/04,07:30:00,106.13,107.1
2021/01/04,08:00:00,96.97,106.12
2021/01/04,08:30:00,109.74,103.95
2021/01/04,09:00:00,108.91,101.47
2021/01/04,09:30:00,105.61,99.96
2021/01/04,10:00:00,104.46,98
2021/01/04,10:30:00,104.13,102.75
2021/01/04,11:00:00,104.13,104.13
2021/01/04,11:30:00,103.21,103.21
2021/01/04,12:00:00,103.72,103.72
2021/01/04,12:30:00,104.03,104.03
2021/01/04,13:00:00,106.71,106.81
2021/01/04,13:30:00,108.73,108.78
2021/01/04,14:00:00,108.66,110.65
2021/01/04,14:30:00,110.56,110.24
2021/01/04,15:00:00,108.35,110.53
2021/01/04,15:30:00,108.06,103.99
2021/01/04,16:00:00,110.3,109.12
2021/01/04,16:30:00,125.02,122.78
2021/01/04,17:00:00,153.36,153.36
2021/01/04,17:30:00,157.11,163
2021/01/04,18:00:00,157.39,163.62
2021/01/04,18:30:00,157.4,164.06
2021/01/04,19:00:00,153.36,165
2021/01/04,19:30:00,157.07,165
2021/01/04,20:00:00,157.13,159.9
2021/01/04,20:30:00,155.9,155.9
2021/01/04,21:00:00,110.27,130
2021/01/04,21:30:00,110.06,112.04
2021/01/04,22:00:00,101.58,113.34
2021/01/04,22:30:00,105,105
2021/01/04,23:00:00,111.75,107.1
2021/01/04,23:30:00,106.94,106.03
2021/01/05,00:00:00,111.03,110.05
2021/01/05,00:30:00,104.14,104.14
2021/01/05,01:00:00,109.11,109.11
2021/01/05,01:30:00,103.98,105.1
2021/01/05,02:00:00,102.92,102.92
2021/01/05,02:30:00,100.47,100.47
2021/01/05,03:00:00,100.32,100.32
2021/01/05,03:30:00,100.05,100.05
2021/01/05,04:00:00,103.6,103.6
2021/01/05,04:30:00,105.82,105.82
2021/01/05,05:00:00,107.51,107.51
2021/01/05,05:30:00,106.55,106.55
2021/01/05,06:00:00,107.66,105.94
2021/01/05,06:30:00,117.65,110.33
2021/01/05,07:00:00,109.52,105.8
2021/01/05,07:30:00,109.55,108.91
2021/01/05,08:00:00,112.81,111.18
2021/01/05,08:30:00,111.45,111.85
2021/01/05,09:00:00,109.3,109.49
